Analyte,count,group_name,analyte_desc_name,analyte_desc_name_2
"PCB 096, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Particulate",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 097, Total",175,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 098, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Particulate",77,PCB,"PAHs, PCBs, PBDEs",
"PCB 099, Total",530,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 100, Total",24,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Particulate",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 101, Total",521,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 102, Total",26,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Dissolved",15,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Particulate",15,PCB,"PAHs, PCBs, PBDEs",
"PCB 103, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 104, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Dissolved",73,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Particulate",72,PCB,"PAHs, PCBs, PBDEs",
"PCB 105, Total",515,PCB,"PAHs, PCBs, PBDEs",
"PCB 106, Total",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 106/118, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 107, Total",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 108, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 109, Total",29,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 110, Total",538,PCB,"PAHs, PCBs, PBDEs",
"PCB 111, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 112, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 113, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Dissolved",12,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Particulate",12,PCB,"PAHs, PCBs, PBDEs",
"PCB 114, Total",103,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 115, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 118, Total",521,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Dissolved",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Particulate",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 119, Total",36,PCB,"PAHs, PCBs, PBDEs",
"PCB 120, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 121, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 122, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 123, Total",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 124, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 125, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 126, Total",87,PCB,"PAHs, PCBs, PBDEs",
"PCB 127, Total",41,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Particulate",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 128, Total",528,PCB,"PAHs, PCBs, PBDEs",
"PCB 128/162, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 129, Total",24,PCB,"PAHs, PCBs, PBDEs",
"PCB 130, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 131, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Particulate",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 132, Total",462,PCB,"PAHs, PCBs, PBDEs",
"PCB 132/161, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 133, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 134, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 135, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 136, Total",66,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Dissolved",57,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Particulate",57,PCB,"PAHs, PCBs, PBDEs",
"PCB 137, Total",91,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 138, Total",530,PCB,"PAHs, PCBs, PBDEs",
"PCB 138/158, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 138/163/164, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 139, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 139/149, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 140, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Dissolved",70,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Particulate",69,PCB,"PAHs, PCBs, PBDEs",
"PCB 141, Total",523,PCB,"PAHs, PCBs, PBDEs",
"PCB 142, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 143, Total",4,PCB,"PAHs, PCBs, PBDEs",
"PCB 144, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 145, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Dissolved",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Particulate",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 146, Total",86,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 147, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 148, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Dissolved",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 149, Total",531,PCB,"PAHs, PCBs, PBDEs",
"PCB 150, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Dissolved",78,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Particulate",75,PCB,"PAHs, PCBs, PBDEs",
"PCB 151, Total",529,PCB,"PAHs, PCBs, PBDEs",
"PCB 152, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Dissolved",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 153, Total",534,PCB,"PAHs, PCBs, PBDEs",
"PCB 153/168, Total",4,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 154, Total",33,PCB,"PAHs, PCBs, PBDEs",
"PCB 155, Total",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Particulate",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 156, Total",532,PCB,"PAHs, PCBs, PBDEs",
"PCB 157, Dissolved",67,PCB,"PAHs, PCBs, PBDEs",
"PCB 157, Particulate",67,PCB,"PAHs, PCBs, PBDEs",
"PCB 157, Total",74,PCB,"PAHs, PCBs, PBDEs",
"PCB 158, Dissolved",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 158, Particulate",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 158, Total",466,PCB,"PAHs, PCBs, PBDEs",
"PCB 158/160, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 159, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 160, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 160, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 160, Total",27,PCB,"PAHs, PCBs, PBDEs",
"PCB 161, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 162, Total",49,PCB,"PAHs, PCBs, PBDEs",
"PCB 163, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 163, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 163, Total",3,PCB,"PAHs, PCBs, PBDEs",
"PCB 164, Total",22,PCB,"PAHs, PCBs, PBDEs",
"PCB 165, Total",52,PCB,"PAHs, PCBs, PBDEs",
"PCB 166, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 166, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 166, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 167, Dissolved",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 167, Particulate",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 167, Total",109,PCB,"PAHs, PCBs, PBDEs",
"PCB 168, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 168, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 168, Total",20,PCB,"PAHs, PCBs, PBDEs",
"PCB 169, Total",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 170, Dissolved",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 170, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 170, Total",534,PCB,"PAHs, PCBs, PBDEs",
"PCB 171, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 172, Total",66,PCB,"PAHs, PCBs, PBDEs",
"PCB 173, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 174, Dissolved",80,PCB,"PAHs, PCBs, PBDEs",
"PCB 174, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 174, Total",535,PCB,"PAHs, PCBs, PBDEs",
"PCB 175, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 176, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 177, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 177, Particulate",78,PCB,"PAHs, PCBs, PBDEs",
"PCB 177, Total",535,PCB,"PAHs, PCBs, PBDEs",
"PCB 178, Dissolved",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 178, Particulate",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 178, Total",74,PCB,"PAHs, PCBs, PBDEs",
"PCB 179, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 180, Dissolved",79,PCB,"PAHs, PCBs, PBDEs",
"PCB 180, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 180, Total",542,PCB,"PAHs, PCBs, PBDEs",
"PCB 181, Total",42,PCB,"PAHs, PCBs, PBDEs",
"PCB 182, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 182/187, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 183, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 183, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 183, Total",533,PCB,"PAHs, PCBs, PBDEs",
"PCB 184, Total",46,PCB,"PAHs, PCBs, PBDEs",
"PCB 185, Dissolved",16,PCB,"PAHs, PCBs, PBDEs",
"PCB 185, Particulate",16,PCB,"PAHs, PCBs, PBDEs",
"PCB 185, Total",27,PCB,"PAHs, PCBs, PBDEs",
"PCB 186, Total",43,PCB,"PAHs, PCBs, PBDEs",
"PCB 187, Dissolved",82,PCB,"PAHs, PCBs, PBDEs",
"PCB 187, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 187, Total",536,PCB,"PAHs, PCBs, PBDEs",
"PCB 188, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 189, Dissolved",63,PCB,"PAHs, PCBs, PBDEs",
"PCB 189, Particulate",63,PCB,"PAHs, PCBs, PBDEs",
"PCB 189, Total",138,PCB,"PAHs, PCBs, PBDEs",
"PCB 190, Total",44,PCB,"PAHs, PCBs, PBDEs",
"PCB 191, Dissolved",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 191, Particulate",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 191, Total",68,PCB,"PAHs, PCBs, PBDEs",
"PCB 192, Total",38,PCB,"PAHs, PCBs, PBDEs",
"PCB 193, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 193, Particulate",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 193, Total",9,PCB,"PAHs, PCBs, PBDEs",
"PCB 194, Dissolved",62,PCB,"PAHs, PCBs, PBDEs",
"PCB 194, Particulate",68,PCB,"PAHs, PCBs, PBDEs",
"PCB 194, Total",522,PCB,"PAHs, PCBs, PBDEs",
"PCB 195, Dissolved",76,PCB,"PAHs, PCBs, PBDEs",
"PCB 195, Particulate",81,PCB,"PAHs, PCBs, PBDEs",
"PCB 195, Total",531,PCB,"PAHs, PCBs, PBDEs",
"PCB 196, Dissolved",35,PCB,"PAHs, PCBs, PBDEs",
"PCB 196, Particulate",31,PCB,"PAHs, PCBs, PBDEs",
"PCB 196, Total",56,PCB,"PAHs, PCBs, PBDEs",
"PCB 196/203, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 197, Total",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 198, Dissolved",54,PCB,"PAHs, PCBs, PBDEs",
"PCB 198, Particulate",54,PCB,"PAHs, PCBs, PBDEs",
"PCB 198, Total",18,PCB,"PAHs, PCBs, PBDEs",
"PCB 198/199, Total",2,PCB,"PAHs, PCBs, PBDEs",
"PCB 199, Dissolved",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 199, Particulate",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 199, Total",60,PCB,"PAHs, PCBs, PBDEs",
"PCB 200, Dissolved",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 200, Particulate",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 200, Total",122,PCB,"PAHs, PCBs, PBDEs",
"PCB 201, Dissolved",55,PCB,"PAHs, PCBs, PBDEs",
"PCB 201, Particulate",59,PCB,"PAHs, PCBs, PBDEs",
"PCB 201, Total",489,PCB,"PAHs, PCBs, PBDEs",
"PCB 202, Total",51,PCB,"PAHs, PCBs, PBDEs",
"PCB 203, Dissolved",69,PCB,"PAHs, PCBs, PBDEs",
"PCB 203, Particulate",78,PCB,"PAHs, PCBs, PBDEs",
"PCB 203, Total",501,PCB,"PAHs, PCBs, PBDEs",
"PCB 204, Total",45,PCB,"PAHs, PCBs, PBDEs",
"PCB 205, Dissolved",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 205, Particulate",6,PCB,"PAHs, PCBs, PBDEs",
"PCB 205, Total",68,PCB,"PAHs, PCBs, PBDEs",
"PCB 206, Dissolved",59,PCB,"PAHs, PCBs, PBDEs",
"PCB 206, Particulate",58,PCB,"PAHs, PCBs, PBDEs",
"PCB 206, Total",136,PCB,"PAHs, PCBs, PBDEs",
"PCB 207, Dissolved",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 207, Particulate",21,PCB,"PAHs, PCBs, PBDEs",
"PCB 207, Total",57,PCB,"PAHs, PCBs, PBDEs",
"PCB 208, Total",50,PCB,"PAHs, PCBs, PBDEs",
"PCB 209, Dissolved",10,PCB,"PAHs, PCBs, PBDEs",
"PCB 209, Particulate",17,PCB,"PAHs, PCBs, PBDEs",
"PCB 209, Total",202,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1016, Total",1,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1221, Total",1,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1232, Total",1,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1242, Total",1,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1248, Total",8,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1254, Total",8,PCB,"PAHs, PCBs, PBDEs",
"PCB AROCLOR 1260, Total",8,PCB,"PAHs, PCBs, PBDEs",
pH,1102,pH,pH,
"pH, Total",182,pH,pH,
"Phosphorus as P, Total",499,Total Phosphorus,Total Phosphorus,
"Selenium, Dissolved",180,Selenium,Total Selenium,
"Selenium, Particulate",4,Selenium,Total Selenium,
"Selenium, Total",391,Selenium,Total Selenium,
"SpecificConductivity, Total",1134,Specific Conductivity,Specific Conductivity,
"Suspended Sediment Concentration, Particulate",585,Suspended Sediment Concentration,Suspended Sediment Concentration,
Temperature,1162,Temperature,Temperature,
"Temperature, Total",182,Temperature,Temperature,
"Total Organic Carbon, Total",532,Total Organic Carbon,Total Organic Carbon,
"Total PAHs, Total",4,PAH,"PAHs, PCBs, PBDEs",
"Total Suspended Solids, Particulate",139,Total Suspended Solids,Suspended Sediment Concentration,
"Total Suspended Solids, Total",24,Total Suspended Solids,Suspended Sediment Concentration,
"TPH as Diesel C10-C23, Total",2,Diesel,"Diesel, Motor Oil, Grease, Gasoline",
"TPH as Motor Oil C18-C36, Total",2,Motor Oil,"Diesel, Motor Oil, Grease, Gasoline",
"Turbidity, Total",407,Turbidity,Turbidity,
