site_id,name,label,description,lat,long,creek_id,creek_name,source
WIL070,Wildcat Creek at Alvarado Park,Alvarado Park,"Wildcat Creek is piped under the Alvarado Staging Area before coming out into an open pool area which is used by kids and dogs, and supports a healthy newt population. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. It is the farthest upstream on Wildcat Creek that we monitor, and the bottom of the creek is dominated by large rocks. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.952075,-122.319783333333,WIL,Wildcat Creek,The Watershed Project
WIL060,Wildcat Creek at Vale Rd.,Vale Rd.,"Wildcat Creek passes under Vale Road in a concrete channel, and once a month we monitor on the downstream side for temperature, dissolved oxygen, conductivity, pH, and turbidity. Rocks and cobbles from upstream have been deposited on the bottom of the channel, which also supports a healthy amount of graffiti. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.9532305555556,-122.338558333333,WIL,Wildcat Creek,The Watershed Project
WIL050,Wildcat Creek at Davis Park,Davis Park,"Wildcat Creek passes along the north side of the John Herbert Davis Park and underneath a foot bridge. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. In 2018 we also monitored the site for benthic macroinvertebrates. The sides of the channel here are dominated by dense foliage including vines, bushes, and trees. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.9620055555556,-122.350930555556,WIL,Wildcat Creek,The Watershed Project
WIL040,Wildcat Creek at Verde Elementary,Verde Elementary,"Wildcat Creek passes underneath Giaramita Street, right in front of Verde Elementary School. The Wildcat Creek Trail runs alongside the creek in a large, open area. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek bed is mostly mud and, depending on the time of year, there will be tall grass along the north side of the creek or none at all. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.9606694444444,-122.363666666667,WIL,Wildcat Creek,The Watershed Project
SPA129,San Pablo Creek at Castro Creek Tributary,Castro Creek Tributary,"Castro Creek comes out of the east side of a large, concrete culvert nestled between some houses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The creek flows between two concrete walls before flowing onward into a more natural area. Newts can be spotted here during certain times of the year. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.95559,-122.27021,SPA,San Pablo Creek,The Watershed Project
SPA110,San Pablo Creek at Wilkie Creek Tributary,Wilkie Creek Tributary,"Willkie Creek runs through a small park right outside De Anza High School before flowing into two pipes underneath Santa Rita Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The creek in this area is dominated by a few large rocks as well as concrete cast to look like sandbags. Grass grows all around this area. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.96885,-122.290519444444,SPA,San Pablo Creek,The Watershed Project
SPA108,San Pablo Creek at Appian Creek Tributary,Appian Creek Tributary,"Appian Creek runs alongside a parking lot and basketball court behind The Boyâ€™s and Girlâ€™s Club on Appian Way. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. The south eastern bank of the creek is dominated by dense foliage and tall trees as well as trash. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.9724888888889,-122.30215,SPA,San Pablo Creek,The Watershed Project
SPA103,San Pablo Creek at El Sobrante Library,El Sobrante Library,"San Pablo Creek runs through a dense forest area 75 meters past a gate behind the El Sobrante Library. It is very common to see turkeys and deer in this area, particularly along the creek itself. The creek bed is mostly mud, sand, and gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We also occasionally monitor the site for benthic macroinvertebrates. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.9667083333333,-122.310227777778,SPA,San Pablo Creek,The Watershed Project
SPA260,San Pablo Creek at Orchard Rd.,Orchard Rd.,"San Pablo Creek is piped underneath Orchard Road before coming out into a snug forested area and flowing northwest. The monitoring site is at the bottom of a large, medium-sized boulder pile leading down from the road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.86399,-122.16773,SPA,San Pablo Creek,The Watershed Project
SPA250,San Pablo Creek at Brookside Rd.,Brookside Rd.,"San Pablo Creek runs along the southern side of the McDonnell Nursery off of Brookside Road. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. The site is dominated by small rocks and foliage. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.86557,-122.17415,SPA,San Pablo Creek,The Watershed Project
SPA230,San Pablo Creek at Caldecott Creek Tributary,Caldecott Creek Tributary,"Caldecott Creek runs directly into San Pablo Creek at this junction located behind the Atma Yoga studio parking area. The creek is lined by medium rocks and large roots belonging to trees. It flows into a large pool which is part of San Pablo Creek.  This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.87719,-122.18211,SPA,San Pablo Creek,The Watershed Project
SPA231,San Pablo Creek at Brookwood Rd.,Brookwood Rd.,"San Pablo Creek runs out of a large effluent tube underneath the Brookside Road Intersection. It flows into large pool which the Caldecott Creek Tributary also flows into. The water in the pool is very murky and deep.  This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.87907,-122.18115,SPA,San Pablo Creek,The Watershed Project
SPA210,San Pablo Creek at Lauterwasser Creek Tributary,Lauterwasser Creek Tributary,"Lauterwasser Creek runs out from underneath Lombardy Lane and into a small pool carved out from large rocks. The area is populated by lots of foliage including poison oak. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.90417,-122.1894,SPA,San Pablo Creek,The Watershed Project
SPA180,San Pablo Creek at Manzanita Bridge,Manzanita Bridge,"San Pablo Creek passes under the Manzanita Bridge in a wide channel filled with pebbles and small rocks with large piles of boulders on either side. Small fish species are often seen here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.89389,-122.20238,SPA,San Pablo Creek,The Watershed Project
ALH110,Alhambra Creek at F St.,F St.,"Alhambra Creek passes beneath a large footbridge located at the end of F Street. It flows down channel with steep sides populated with lots of foliage including large trees. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",38.00082,-122.12967,ALH,Alhambra Creek,The Watershed Project
WAL080,Walnut Creek at Civic Park,Civic Park,"Walnut Creek runs through Civic Park just northeast of the main park entrance. It is located right off the creek trail. The area has lots of trees and grasses. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.90509,-122.05779,WAL,Walnut Creek,The Watershed Project
CEO170,Grayson Creek at Pleasant Hill Middle School,Pleasant Hill Middle School,"Grayson Creek flows behind Pleasant Hill Middle School right below an embankment next to the service road. The area is populated by grasses and a large shipping container. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.93614,-122.06498,WAL,Walnut Creek,The Watershed Project
WAL045,Walnut Creek at Highway-242,Highway-242,"Walnut Creek flows beneath SR-242 into a large open area between SR-242 and I-680. This area is right below a large, sloped, concrete embankment and past a fence. The banks of the creek are lined with large bushes and tall grass and the creek bed is covered in pebbles. Fish live here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.96091,-122.05218,WAL,Walnut Creek,The Watershed Project
CEO166,Grayson Creek at Golf Club Rd.,Golf Club Rd.,"Grayson Creek passes under Golf Club Road and into a large, open channel next to the El Tapatio Mexican restaurant and across from Chilpancingo Park. The banks of the creek can be covered in tall plants unless they have been removed. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. Fish and waterfowl are often seen here. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.97201,-122.06616,WAL,Walnut Creek,The Watershed Project
CEO160,Grayson Creek at Chilpancingo Pkwy.,Chilpancingo Pkwy.,"Grayson Creek flows north continuing along a wide, open channel before flowing under Chilpancingo Parkway. The areas has some tall grass right next to the creek and animals such as fish, waterfowl and even turtles can be found here. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.97511,-122.06583,WAL,Walnut Creek,The Watershed Project
MSH120,Marsh Creek at Aspara Dr.,Aspara Dr.,"Marsh Creek flows through a concrete culvert and into a small park with a gazebo in it. The creek bed is mostly mud and there is lots of foliage in the area. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.89272,-121.85461,MSH,Marsh Creek,The Watershed Project
MSH110,Marsh Creek at 2103 Marsh Creek Rd.,2103 Marsh Creek Rd.,"Marsh Creek passes right under the Marsh Creek Road Overpass. The banks of the creek are lined with plants including poison oak. The creek bed often has small rocks and cobble in it. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.8904,-121.84901,MSH,Marsh Creek,The Watershed Project
MSH100,Marsh Creek at 14350 Marsh Creek Rd.,14350 Marsh Creek Rd.,"Marsh Creek flows underneath a large, log footbridge located west of a fire gate in a densely wooded area. The creek bed is mostly gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.88409,-121.82498,MSH,Marsh Creek,The Watershed Project
MSH090,Marsh Creek at 16000 Marsh Creek Rd.,16000 Marsh Creek Rd.,"Marsh Creek flows just south of Marsh Creek Road on the left of a grassy turnout near a house at the end of a long driveway. The area is populated by lots of foliage and the creek bed is mostly gravel. This site is monitored once a month for temperature, dissolved oxygen, conductivity, and pH. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.89041,-121.80266,MSH,Marsh Creek,The Watershed Project
MSH061,Marsh Creek at Creekside Park,Creekside Park,Marsh Creek flows through Creekside Park and into a storm culvert outfall under a footbridge. This site is currently inactive.,37.92307,-121.71214,MSH,Marsh Creek,The Watershed Project
MSH050,Marsh Creek at Deer Creek,Deer Creek,Marsh Creek flows just north of Central Boulevard just along the west side of the Marsh Creek Trail. The banks of the creek are mostly concrete riprap. This site is currently inactive.,37.938629,-121.706873,MSH,Marsh Creek,The Watershed Project
MSH045,Marsh Creek at Sand Creek,Sand Creek,Marsh Creek flows alongside Island Palm Way just south of Monarch Park. The banks of the creek are mostly concrete riprap. This site is currently inactive.,37.93809,-121.70714,MSH,Marsh Creek,The Watershed Project
MSH030,Marsh Creek at Delta Rd.,Delta Rd.,Marsh Creek flows underneath the Delta Road Overpass right next to a dirt parking lot. This site is currently inactive.,37.96851,-121.682777404784,MSH,Marsh Creek,The Watershed Project
MSH020,Marsh Creek at Cypress Rd.,Cypress Rd.,"Marsh Creek runs under the old railroad overpass, near the Marsh Creek trail parking lot right off of Cypress Drive (off of E. Cypress Road). This site is currently inactive.",37.99107,-121.696258544921,MSH,Marsh Creek,The Watershed Project
BAX030,Bioswale on Baxter Creek at Booker T. Anderson Community Center,Booker T. Anderson Community Center,A bioswale constructed in 2018 now filters stormwater from the Community Center parking lot through native plants and layers of soil before discharging to Rheem Creek.,37.919164,-122.326242,BAX,Baxter Creek,The Watershed Project
SUP030,Rheem Creek at Wanlass Park,Wanlass Park,"Rheem Creek flows underneath a small bridge leading into Wanlass Park. The banks of the creek are populated by dense foliage including lots of tall grass and, occasionally, cattails. Both area surrounding the creek and the creek itself are usually filled with trash and the water smells like sewage. This site is monitored once a month for temperature, dissolved oxygen, conductivity, pH, and turbidity. We always take volunteers on our monitoring expeditions, where youâ€™ll learn about the equipment we use and do observational assessments.",37.97235,-122.34352,SUP,Rheem Creek,The Watershed Project
CEO168,Grayson Creek at Diablo Valley College,Diablo Valley College,"Grayson Creek flows through the eastern part of Diablo Valley College before going under Golf Club Road. The banks are somewhat steep and covered in grass, and the dominant substrate is mainly mud. This site is monitored once or twice a year for temperature, dissolved oxygen, conductivity, pH, and turbidity, in collaboration with environmental science classes at the college. We always take volunteers on our monitoring expeditions, where you'll learn about the equipment we use and do observational assessments.",37.97093,-122.06698,WAL,Walnut Creek,The Watershed Project
CEO168,Grayson Creek at Diablo Valley College,Diablo Valley College,"Grayson Creek flows through the eastern part of Diablo Valley College before going under Golf Club Road. The banks are somewhat steep and covered in grass, and the dominant substrate is mainly mud. This site is monitored once or twice a year for temperature, dissolved oxygen, conductivity, pH, and turbidity, in collaboration with environmental science classes at the college. We always take volunteers on our monitoring expeditions, where you'll learn about the equipment we use and do observational assessments.",37.97093,-122.06698,WAL,Walnut Creek,The Watershed Project
BG30,San Joaquin River (BG30),NA,NA,38.020542,-121.806266784668,NA,NA,CEDEN
BD31,Pinole Point (BD31),NA,NA,38.02412,-122.36368560791,NA,NA,CEDEN
SPB002S,San Pablo Bay (SPB002S),NA,NA,38.016407,-122.341285705566,NA,NA,CEDEN
207KIR020,Kirker Creek at Floodway,NA,NA,38.016499,-121.838813781738,NA,NA,CEDEN
544XKCAHL,Kellogg Creek along Hoffman Ln,NA,NA,37.881882,-121.652206420898,NA,NA,CEDEN
544SCAHFB,Sand Creek @ Hwy 4 Bypass,NA,NA,37.947498,-121.74299621582,NA,NA,CEDEN
207WAL020,Walnut Creek @ Concord Ave O.C.,NA,NA,37.980629,-122.051597595215,NA,NA,CEDEN
541MERECY,Marsh Creek at East Cypress Crossing,NA,NA,37.99107,-121.696258544922,NA,NA,CEDEN
RICH,Richmond Pump Station-RICH,NA,NA,37.953896,-122.373893737793,NA,NA,CEDEN
LMarCr,Lower Marsh Creek-LMarCr,NA,NA,37.990723,-121.69612121582,NA,NA,CEDEN
ELC,El Cerrito-ELC,NA,NA,37.905907,-122.304931640625,NA,NA,CEDEN
207R00843,Grizzly Creek - 207R00843,NA,NA,37.868031,-122.095970153809,NA,NA,CEDEN
206R00551,San Pablo Creek,NA,NA,37.96159,-122.339286804199,NA,NA,CEDEN
4-349,Carquinez Bridge – South,NA,NA,38.053528,-122.226150512695,NA,NA,CEDEN
4-350,I-680/24 Interchange (IC),NA,NA,37.896744,-122.07218170166,NA,NA,CEDEN
206R01024,"Rodeo Creek, 0.9 mi. SE of Rodeo, Willow Avenue",NA,NA,38.020119,-122.259353637695,NA,NA,CEDEN
544EOWDTD,East Orwood Tract Drain,NA,NA,37.92857,-121.560668945312,NA,NA,CEDEN
Lafayette-BART,Lafayette BART Parking Lot,NA,NA,37.893902,-122.124900817871,NA,NA,CEDEN
